Id,Name,shortDescription,Description,Images,Stock,Sale price,Categories
17,Woo Ninja,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_2_back.jpg",21,19.99,Clothing
18,Ship Your Idea,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_back.jpg,",21,13,Clothing
19,"Ship Your Idea - Blue, XL",Sacsdasdcs,Wiadfjknajksdnv,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_1_front.jpg,21,20,Clothing
20,"Ship Your Idea - Black, L",Xmases,akjdsnvjkankjnvciuahrea;,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/hoodie_7_front.jpg,21,24,Clothing
21,Happy Ninja,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_7_back.jpg",21,25,Clothing
22,Woo Ninja,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_6_back.jpg",21,26,Clothing
23,Ninja Silhouette,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_5_back.jpg",33,27,Clothing
24,Ship Your Idea,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_back.jpg,",21,28,Clothing
25,Ship Your Idea - Green,Lkvhiurahelfx,Askjdnciluberahdssz,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_3_front.jpg,121,22,Clothing
26,Ship Your Idea - Black,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,sadaweasdax,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_4_front1.jpg,21,21,Clothing
27,Premium Quality,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg",21,11,Clothing
28,Woo Logo,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies ege","http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_front.jpg, http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_1_back.jpg",15,18,Clothing
